"taxon","ELEMENT_GLOBAL_ID","indicator"
"Racomitrium",860642,1
"Racomitrium",849179,1
"Racomitrium",860807,1
"Racomitrium",860751,1
"Racomitrium",899839,1
"Racomitrium",979517,1
"Racomitrium",685627,1
"Racomitrium",685473,1
"Racomitrium",683562,1
"Campylium",683904,1
"Campylium",687547,1
"Drepanocladus",689327,1
"Hygroamblystegium",1349448,1
"Eurhynchium",899578,1
"Climacium",685094,1
"Climacium",687225,1
"Climacium",684674,1
"Fontinalis",899216,1
"Fontinalis",686663,1
"Hylocomium",684253,1
"Hylocomium",683834,1
"Hylocomium",787600,1
"Hylocomium",777940,1
"Pleurozium",687791,1
"Pleurozium",688759,1
"Pleurozium",686798,1
"Pleurozium",687548,1
"Pleurozium",688915,1
"Rhytidiadelphus",899662,1
"Hypnum",684569,1
"Thuidium",806705,1
"Tortella",687152,1
"Polytrichum",728583,1
"Polytrichum",800140,1
"Polytrichum",686420,1
"Polytrichum",800167,1
"Polytrichum",684085,1
"Polytrichum",800158,1
"Sphagnum",1299043,1
"Sphagnum",836882,1
"Sphagnum",856688,1
"Sphagnum",899410,1
"Sphagnum",1041077,1
"Sphagnum",1041080,1
"Sphagnum",898972,1
"Sphagnum",899513,1
"Sphagnum",1225183,1
"Sphagnum",1225181,1
"Sphagnum",1225173,1
"Sphagnum",1041621,1
"Sphagnum",899571,1
"Sphagnum",1159155,1
"Sphagnum",899606,1
"Sphagnum",899888,1
"Sphagnum",899574,1
"Sphagnum",684249,1
"Sphagnum",684312,1
"Sphagnum",856875,1
"Sphagnum",684012,1
"Sphagnum",687571,1
"Sphagnum",868660,1
"Sphagnum",689926,1
"Sphagnum",688078,1
"Sphagnum",689714,1
"Sphagnum",688121,1
"Sphagnum",686555,1
"Sphagnum",687810,1
"Sphagnum",687359,1
"Sphagnum",688103,1
"Sphagnum",1302668,1
"Sphagnum",801805,1
"Sphagnum",689336,1
"Sphagnum",688403,1
"Sphagnum",688628,1
"Sphagnum",687248,1
"Sphagnum",1302670,1
"Sphagnum",683188,1
"Sphagnum",685116,1
"Sphagnum",800146,1
"Sphagnum",800143,1
"Sphagnum",800140,1
"Sphagnum",800184,1
"Sphagnum",800149,1
"Sphagnum",689094,1
"Sphagnum",690042,1
"Sphagnum",683077,1
"Sphagnum",892950,1
"Sphagnum",686420,1
"Sphagnum",856872,1
"Sphagnum",688244,1
"Sphagnum",688003,1
"Sphagnum",684360,1
"Sphagnum",902943,1
"Sphagnum",952647,1
"Sphagnum",686220,1
"Sphagnum",684727,1
"Sphagnum",683900,1
"Sphagnum",685203,1
"Sphagnum",684492,1
"Sphagnum",685565,1
"Sphagnum",685667,1
"Sphagnum",683960,1
"Sphagnum",684587,1
"Sphagnum",1176987,1
"Sphagnum",1252912,1
