"taxon","ELEMENT_GLOBAL_ID","indicator"
"Nephrolepis",686144,1
"Nephrolepis",685008,1
"Nephrolepis",689552,1
"Matteuccia",685636,1
"Matteuccia",684386,1
"Matteuccia",684420,1
"Onoclea",689937,1
"Onoclea",683201,1
"Onoclea",684410,1
"Onoclea",687000,1
"Onoclea",789560,1
"Osmunda",899881,1
"Osmunda",899499,1
"Osmunda",900067,1
"Osmunda",899513,1
"Osmunda",683903,1
"Osmunda",688801,1
"Osmunda",684628,1
"Osmunda",683901,1
"Osmunda",685247,1
"Osmunda",689553,1
"Osmunda",687406,1
"Osmunda",686944,1
"Osmunda",684829,1
"Osmunda",868660,1
"Osmunda",688542,1
"Osmunda",685452,1
"Osmunda",867537,1
"Osmunda",686662,1
"Osmunda",687810,1
"Osmunda",688283,1
"Osmunda",689899,1
"Osmunda",790975,1
"Osmunda",685683,1
"Osmunda",687748,1
"Osmunda",1217341,1
"Osmunda",686788,1
"Osmunda",689867,1
"Osmunda",683857,1
"Osmunda",685116,1
"Osmunda",683685,1
"Osmunda",858389,1
"Osmunda",689370,1
"Osmunda",685980,1
"Osmunda",684465,1
"Osmunda",685388,1
"Osmunda",685745,1
"Osmunda",686297,1
"Osmunda",867540,1
"Osmunda",685182,1
"Osmunda",684587,1
"Osmunda",684119,1
"Osmunda",683072,1
"Pleopeltis",686309,1
"Polypodium",689218,1
"Polypodium",685747,1
"Polypodium",687798,1
"Polypodium",933791,1
"Polypodium",933779,1
"Polypodium",683315,1
"Polypodium",795484,1
"Polypodium",686955,1
"Polypodium",687388,1
"Polypodium",688235,1
"Acrostichum",1269138,1
"Acrostichum",689831,1
"Acrostichum",686144,1
"Acrostichum",689552,1
"Acrostichum",688005,1
"Acrostichum",688025,1
"Adiantum",849120,1
"Adiantum",905014,1
"Adiantum",900047,1
"Adiantum",899966,1
"Adiantum",934859,1
"Adiantum",685400,1
"Adiantum",687307,1
"Adiantum",683093,1
"Adiantum",685488,1
"Adiantum",685592,1
"Adiantum",689407,1
"Adiantum",689906,1
"Adiantum",686685,1
"Adiantum",689419,1
"Adiantum",934867,1
"Adiantum",687679,1
"Adiantum",1284851,1
"Adiantum",789560,1
"Adiantum",964330,1
"Aspidotis",899840,1
"Aspidotis",685390,1
"Aspidotis",685358,1
"Cheilanthes",943698,1
"Cheilanthes",1110224,1
"Cheilanthes",683963,1
"Cheilanthes",689667,1
"Cheilanthes",685202,1
"Cryptogramma",687969,1
"Cryptogramma",728743,1
"Pellaea",860807,1
"Pellaea",959812,1
"Pellaea",686389,1
"Pellaea",688984,1
"Pellaea",684345,1
"Pityrogramma",1285876,1
"Pityrogramma",887542,1
"Vittaria",686958,1
"Azolla",860576,1
"Azolla",899167,1
"Azolla",688612,1
"Salvinia",685885,1
"Salvinia",948546,1
"Selaginella",899592,1
"Selaginella",900012,1
"Selaginella",1089409,1
"Selaginella",899837,1
"Selaginella",685300,1
"Selaginella",683229,1
"Selaginella",684269,1
"Selaginella",683530,1
"Selaginella",969494,1
"Selaginella",689667,1
"Selaginella",684362,1
"Selaginella",860009,1
"Selaginella",686150,1
"Selaginella",684620,1
"Selaginella",689832,1
"Selaginella",683758,1
"Selaginella",687159,1
"Selaginella",788799,1
"Selaginella",1277535,1
"Selaginella",685370,1
"Selaginella",857549,1
"Selaginella",687745,1
"Selaginella",857854,1
"Thelypteris",1044253,1
"Thelypteris",689630,1
"Thelypteris",688299,1
"Thelypteris",683871,1
"Thelypteris",689906,1
"Thelypteris",689419,1
"Thelypteris",684693,1
"Thelypteris",928265,1
"Thelypteris",897923,1
"Thelypteris",686863,1
"Thelypteris",688323,1
"Thelypteris",791581,1
"Thelypteris",687044,1
"Woodsia",689684,1
"Woodsia",684346,1
"Calocedrus",835947,1
"Calocedrus",833254,1
"Calocedrus",899725,1
"Calocedrus",688174,1
"Calocedrus",686842,1
"Calocedrus",686631,1
"Calocedrus",683210,1
"Calocedrus",686452,1
"Calocedrus",689443,1
"Calocedrus",685620,1
"Calocedrus",686054,1
"Calocedrus",685136,1
"Calocedrus",689543,1
"Calocedrus",687563,1
"Calocedrus",685253,1
