"acgenus","actaxon","acauth","taxon","auth"
"Weissia","Weissia condensa","(Voit) Lindb.","Weissia condensa","(Voit) Lindb."
"Palamocladium","Palamocladium wilkesianum","(Sull.) Müll.Hal.","Palamocladium wilkesianum","(Sull.) Müll.Hal."
"Pseudotrachypus","Pseudotrachypus convolvens","(Mitt.) W.R.Buck","Pseudotrachypus convolvens","(Mitt.) W.R.Buck"
"Cinclidotus","Cinclidotus riparius","(Host ex Brid.) Arn.","Cinclidotus riparius","(Host ex Brid.) Arn."
"Hymenodon","Hymenodon sphaerothecius","Besch.","Hymenodon sphaerothecius","Besch."
"Niphotrichum","Niphotrichum ericoides","(Brid.) Bedn.-Ochyra & Ochyra","Niphotrichum ericoides","(Brid.) Bedn.-Ochyra & Ochyra"
"Sematophyllum","Sematophyllum substrumulosum","(Hampe) E.Britton","Sematophyllum substrumulosum","(Hampe) E.Britton"
"Physcomitrium","Physcomitrium serratum","(Wilson & Hook.) Müll.Hal.","Physcomitrium serratum","(Wilson & Hook.) Müll.Hal."
"Scapania","Scapania cuspiduligera","(Nees) Müll.Frib.","Scapania cuspiduligera","(Nees) Müll.Frib."
"Timmiella","Timmiella flexiseta","(Bruch) Limpr.","Timmiella flexiseta","(Bruch) Limpr."
"Lepidozia","Lepidozia bursifera","S.Hatt. & Grolle","Lepidozia bursifera","S.Hatt. & Grolle"
"Lepyrodon","Lepyrodon hexastichus","(Mont.) Wijk & Margad.","Lepyrodon hexastichus","(Mont.) Wijk & Margad."
"Hyophila","Hyophila perpendiculata","Dixon","Hyophila perpendiculata","Dixon"
"Nardia","Nardia geoscyphus","(De Not.) Lindb.","Nardia geoscyphus","(De Not.) Lindb."
"Chiloscyphus","Chiloscyphus polyanthos var. rivularis","(Schrad.) Lindb. & Arnell","Chiloscyphus polyanthos var. rivularis","(Schrad.) Nees"
"Lyellia","Lyellia aspera","(I.Hagen & C.E.O.Jensen) Frye","Lyellia aspera","(I.Hagen & C.E.O.Jensen) Frye"
"Frullania","Frullania moritziana","Lindenb. & Gottsche","Frullania moritziana","Lindenb. & Gottsche"
"Sandea","Sandea japonica","Steph. ex Yoshin.","Sandea japonica","Steph. ex Yoshin."
"Plagiochila","Plagiochila kurokawae","Inoue","Plagiochila kurokawae","Inoue"
"Porotrichum","Porotrichum subexplanatum","(Broth. & Herzog) Ochyra","Porotrichum subexplanatum","(Broth. & Herzog) Ochyra"
"Syntrichia","Syntrichia caninervis","Mitt.","Tortula caninervis","(Mitt.) Broth."
"Bucklandiella","Bucklandiella affinis","(Schleich. ex F.Weber & D.Mohr) Bedn.-Ochyra & Ochyra","Racomitrium heterostichum var. affine","(Schleich. ex F.Weber & D.Mohr) Lesq."
"Sphagnum","Sphagnum cribrosum","Lindb.","Sphagnum cribrosum","Lindb."
"Meesia","Meesia minor","Brid.","Meesia uliginosa var. alpina","(Funck ex Bruch) Hampe"
"Paraleucobryum","Paraleucobryum longifolium","(Ehrh. ex Hedw.) Loeske","Paraleucobryum longifolium var. subalpinum","(Milde) Casares-Gil"
"Drepanolejeunea","Drepanolejeunea angustifolia","(Mitt.) Grolle","Drepanolejeunea angustifolia","(Mitt.) Grolle"
"Brachytheciastrum","Brachytheciastrum collinum","(Schleich. ex Müll.Hal.) Ignatov & Huttunen","Brachythecium collinum","(Schleich. ex Müll.Hal.) Schimp."
"Homalothecium","Homalothecium lutescens","(Hedw.) H.Rob.","Camptothecium lutescens","(Hedw.) Schimp."
"Aneura","Aneura sharpii","Inoue & N.G.Mill.","Aneura sharpii","Inoue & N.G.Mill."
"Fissidens","Fissidens perobtusus","Dixon","Fissidens perobtusus","Dixon"
"Acroporium","Acroporium perserratum","E.B.Bartram","Acroporium perserratum","E.B.Bartram"
"Lejeunea","Lejeunea diaphana","Spruce","Lejeunea diaphana","Spruce"
"Sematophyllum","Sematophyllum decurvifolium","Mitt.","Sematophyllum decurvifolium","Mitt."
"Meiotrichum","Meiotrichum lyallii","(Mitt.) G.L.Merr.","Polytrichum lyallii","(Mitt.) Kindb."
"Neoorthocaulis","Neoorthocaulis floerkei","(F.Weber & D.Mohr) L.Söderstr., De Roo & Hedd.","Lophozia floerkei","(F.Weber & D.Mohr) Schiffn."
"Acrobolbus","Acrobolbus kunkelii","(Hässel & Solari) Briscoe & J.J.Engel","Acrobolbus kunkelii","(Hässel & Solari) Briscoe & J.J.Engel"
"Camptodontium","Camptodontium cryptodon","(Mont.) Reimers","Camptodontium cryptodon","(Mont.) Reimers"
"Oxyrrhynchium","Oxyrrhynchium speciosum","(Brid.) Warnst.","Eurhynchium speciosum","(Brid.) Jur."
"Breutelia","Breutelia pilifera","B.H.Allen & D.G.Griffin","Breutelia pilifera","B.H.Allen & D.G.Griffin"
"Taxithelium","Taxithelium kerianum","(Broth.) Broth.","Taxithelium kerianum","(Broth.) Broth."
"Breutelia","Breutelia tundrae","W.R.Buck","Breutelia tundrae","W.R.Buck"
"Macromitrium","Macromitrium ligulifolium","Broth.","Macromitrium ligulifolium","Broth."
"Meteorium","Meteorium buchananii var. cuspidatum","(S.Okamura) Nog.","Meteorium buchananii var. cuspidatum","(S.Okamura) Nog."
"Chionoloma","Chionoloma perlongifolium","(J.Froehl.) M.Alonso, M.J.Cano & J.A.Jiménez","Chionoloma perlongifolium","(J.Froehl.) M.Alonso, M.J.Cano & J.A.Jiménez"
"Plagiochila","Plagiochila pacifica","Mitt.","Plagiochila pacifica","Mitt."
"Lophocolea","Lophocolea patulistipa","Steph.","Lophocolea patulistipa","Steph."
"Brachytheciastrum","Brachytheciastrum velutinum","(Hedw.) Ignatov & Huttunen","Brachythecium velutinum var. velutinum",""
"Brachythecium","Brachythecium salebrosum","(Hoffm. ex F.Weber & D.Mohr) Schimp.","Brachythecium salebrosum var. flaccidum","Schimp."
"Callicostella","Callicostella laeviuscula","Mitt.","Callicostella laeviuscula","Mitt."
"Schistidium","Schistidium platyphyllum","(Mitt.) Perss.","Grimmia platyphylla","Mitt."
"Cnestrum","Cnestrum schisti","(F.Weber & D.Mohr) I.Hagen","Oncophorus schisti","(F.Weber & D.Mohr) Lindb."
"Dicranella","Dicranella riograndensis","Broth.","Dicranella riograndensis","Broth."
"Lejeunea","Lejeunea catinulifera","Spruce","Lejeunea catinulifera","Spruce"
"Ptychostomum","Ptychostomum archangelicum","(Bruch & Schimp.) J.R.Spence","Bryum curvatum","Kaurin & Arnell"
"Frullania","Frullania latogaleata","Herzog","Frullania latogaleata","Herzog"
"Lophocolea","Lophocolea canaliculata","(Hook.f. & Taylor ex Gottsche, Lindenb. & Nees) Steph.","Lophocolea canaliculata","(Hook.f. & Taylor ex Gottsche, Lindenb. & Nees) Steph."
"Echinodium","Echinodium setigerum","(Mitt.) Jur.","Echinodium setigerum","(Mitt.) Jur."
"Papillaria","Papillaria brotheri","Herzog","Papillaria brotheri","Herzog"
"Schlotheimia","Schlotheimia balfourii","Mitt.","Schlotheimia balfourii","Mitt."
"Papillaria","Papillaria callochlorosa","Müll.Hal.","Papillaria callochlorosa","Müll.Hal."
"Heteroscyphus","Heteroscyphus polychaetus","(Spruce) Hentschel & Heinrichs","Heteroscyphus polychaetus","(Spruce) Hentschel & Heinrichs"
"Bazzania","Bazzania asperrima","Steph.","Bazzania asperrima","Steph."
"Lepidozia","Lepidozia paschalis","Steph.","Lepidozia paschalis","Steph."
"Drepanolejeunea","Drepanolejeunea tridactyla","(Gottsche) Steph.","Drepanolejeunea tridactyla","(Gottsche) Steph."
"Plagiochila","Plagiochila assamica","Steph.","Plagiochila assamica","Steph."
"Stenodictyon","Stenodictyon crosbyi","B.H.Allen","Stenodictyon crosbyi","B.H.Allen"
"Lepidopilum","Lepidopilum permarginatum","R.S.Williams","Lepidopilum permarginatum","R.S.Williams"
"Vesicularia","Vesicularia oreadelphus var. glaucoviridis","(Broth.) Paris","Vesicularia oreadelphus var. glaucoviridis","(Broth.) Paris"
"Grimmia","Grimmia limprichtii","Kern","Grimmia limprichtii","Kern"
"Brachythecium","Brachythecium propinnatum","Redf., B.C.Tan & S.He","Brachythecium propinnatum","Redf., B.C.Tan & S.He"
"Pyrrhobryum","Pyrrhobryum setosum","Mitt.","Pyrrhobryum setosum","Mitt."
"Physcomitrium","Physcomitrium courtoisii","Paris & Broth.","Physcomitrium courtoisii","Paris & Broth."
"Nothoceros","Nothoceros superbus","J.C.Villarreal, Hässel & Salazar Allen","Nothoceros superbus","J.C.Villarreal, Hässel & Salazar Allen"
"Heteroscyphus","Heteroscyphus inflatus","(Steph.) S.C.Srivast. & A.Srivast.","Heteroscyphus inflatus","(Steph.) S.C.Srivast. & A.Srivast."
"Ditrichum","Ditrichum pancheri","(Müll.Hal.) Paris","Ditrichum pancheri","(Müll.Hal.) Paris"
"Leucoloma","Leucoloma annamense","Thér.","Leucoloma annamense","Thér."
"Pogonatum","Pogonatum urnigerum","(Hedw.) P.Beauv.","Pogonatum urnigerum var. subintegrifolium","(Arnell & C.E.O.Jensen) H.A.Möller"
"Funaria","Funaria cameruniae","Dixon","Funaria cameruniae","Dixon"
"Isopterygium","Isopterygium perpallidum","E.B.Bartram","Isopterygium perpallidum","E.B.Bartram"
"Calyptrochaeta","Calyptrochaeta mollis","(Besch.) Matteri","Calyptrochaeta mollis","(Besch.) Matteri"
"Andreaea","Andreaea laticuspis","Broth.","Andreaea laticuspis","Broth."
"Rhynchostegium","Rhynchostegium inaequale","Dixon","Rhynchostegium inaequale","Dixon"
"Macromitrium","Macromitrium subdiscretum","R.S.Williams","Macromitrium subdiscretum","R.S.Williams"
"Heterocladium","Heterocladium capillaceum","Broth. ex Ihsiba","Heterocladium capillaceum","Broth. ex Ihsiba"
"Frullania","Frullania inflata","Gottsche","Frullania inflata var. inflata",""
"Lejeunea","Lejeunea subaquatica","Schiffn.","Lejeunea subaquatica","Schiffn."
"Bryoerythrophyllum","Bryoerythrophyllum antarcticum","(L.I.Savicz & Smirnova) P.Sollman","Bryoerythrophyllum antarcticum","(L.I.Savicz & Smirnova) P.Sollman"
"Calypogeia","Calypogeia subintegra var. subintegra","","Calypogeia subintegra var. subintegra",""
"Bruchia","Bruchia paricutinensis","Delgad. & M.Á.Cárdenas","Bruchia paricutinensis","Delgad. & M.Á.Cárdenas"
"Anomodon","Anomodon minor var. minor","","Anomodon minor var. minor",""
"Lescuraea","Lescuraea saxicola","(Schimp.) Molendo","Lescuraea julacea","Besch. & Cardot"
"Sphagnum","Sphagnum squarrifolium","Warnst.","Sphagnum squarrifolium","Warnst."
"Stereodon","Stereodon bipinnatus","Mitt.","Stereodon bipinnatus","Mitt."
"Polytrichum","Polytrichum longisetum","Sw. ex Brid.","Polytrichum longisetum","Sw."
"Anapiculatisporites","Anapiculatisporites dawsonensis","R.F.Reiser & A.J.Williams","Anapiculatisporites dawsonensis","R.F.Reiser & A.J.Williams"
"Schlotheimia","Schlotheimia fornicata var. microtheca","P.de la Varde","Schlotheimia fornicata var. microtheca","P.de la Varde"
"Cololejeunea","Cololejeunea dadeuniana","Tixier","Cololejeunea dadeuniana","Tixier"
"Mittenothamnium","Mittenothamnium subpatens","(Broth.) G.Kis","Mittenothamnium subpatens","(Broth.) G.Kis"
"Riccardia","Riccardia decolyana","Schiffn.","Riccardia decolyana","Schiffn."
"Acrolejeunea","Acrolejeunea crassicaulis","(Steph.) Jian Wang bis & Gradst.","Acrolejeunea crassicaulis","(Steph.) Jian Wang bis & Gradst."
"Hyophila","Hyophila uleana","Müll.Hal.","Hyophila uleana","Müll.Hal."
"Porella","Porella gracillima","Mitt.","Porella gracillima","Mitt."
"Symphyogyna","Symphyogyna interrupta","Carrington & Pearson","Symphyogyna interrupta","Carrington & Pearson"
"Polytrichum","Polytrichum subpilosum","P.Beauv.","Polytrichum subpilosum","P.Beauv."
"Zygodon","Zygodon longicellularis","D.G.Griffin","Zygodon longicellularis","D.G.Griffin"
"Lophocolea","Lophocolea horikawana","S.Hatt.","Lophocolea horikawana","S.Hatt."
"Plagiomnium","Plagiomnium rostratum","(Schrad.) T.J.Kop.","Plagiomnium rostratum","(Schrad.) T.J.Kop."
"Jochenia","Jochenia pallescens","(Hedw.) Hedenäs, Schlesak & D.Quandt","Hypnum pallescens","(Hedw.) P.Beauv."
"Obtusifolium","Obtusifolium obtusum","(Lindb.) S.W.Arnell","Obtusifolium obtusum","(Lindb.) S.W.Arnell"
"Rhynchostegium","Rhynchostegium rotundifolium","(Scop. ex Brid.) Schimp.","Rhynchostegium rotundifolium","(Scop. ex Brid.) Schimp."
"Conocephalum","Conocephalum conicum","(L.) Dumort.","Conocephalum conicum","(L.) Dumort."
"Plagiochila","Plagiochila alaskana","A.Evans","Plagiochila semidecurrens var. alaskana","(A.Evans) Inoue"
"Gemmabryum","Gemmabryum apiculatum","(Schwägr.) J.R.Spence & H.P.Ramsay","Bryum cruegeri","Hampe"
"Grimmia","Grimmia hamulosa","Lesq.","Grimmia brevirostris","R.S.Williams"
"Porella","Porella acutifolia","(Lehm. & Lindenb.) Trevis.","Porella acutifolia","(Lehm. & Lindenb.) Trevis."
"Blindiadelphus","Blindiadelphus subimmersus","(Lindb.) Fedosov & Ignatov","Seligeria subimmersa","Lindb."
"Mesoptychia","Mesoptychia bantriensis","(Hook.) L.Söderstr. & Váňa","Mesoptychia bantriensis","(Hook.) L.Söderstr. & Váňa"
"Campylopus","Campylopus macgregorii","Broth. & Geh.","Campylopus macgregorii","Broth. & Geh."
"Ceratolejeunea","Ceratolejeunea moniliata","Herzog","Ceratolejeunea moniliata","Herzog"
"Atractylocarpus","Atractylocarpus alpinus","(Schimp. ex Milde) Lindb.","Atractylocarpus alpinus","(Schimp. ex Milde) Lindb."
"Ectropothecium","Ectropothecium decurrens","(Sull.) N.Nishim.","Ectropothecium decurrens","(Sull.) N.Nishim."
"Entosthodon","Entosthodon sonorae","(Cardot) Steere","Entosthodon sonorae","(Cardot) Steere"
"Leucodon","Leucodon cryptotheca","Hampe","Leucodon cryptotheca","Hampe"
"Sphagnum","Sphagnum strictum","Sull.","Sphagnum garberi","Lesq. & James"
"Protochilopsis","Protochilopsis grandiretis","(Lindb. ex Kaal.) A.V.Troitsky, Bakalin & Fedosov","Protochilopsis grandiretis","(Lindb. ex Kaal.) A.V.Troitsky, Bakalin & Fedosov"
"Entosthodon","Entosthodon muhlenbergii","(Turner) Fife","Funaria mediterranea","Lindb."
"Andreaea","Andreaea rupestris var. sparsifolia","(J.E.Zetterst.) Sharp","Andreaea rupestris var. sparsifolia","(J.E.Zetterst.) Sharp"
"Pilotrichum","Pilotrichum andersonii","Crosby","Pilotrichum andersonii","Crosby"
"Pleurozia","Pleurozia paradoxa","(J.B.Jack) Schiffn.","Pleurozia paradoxa","(J.B.Jack) Schiffn."
"Sphagnum","Sphagnum pungifolium","X.J.Li","Sphagnum pungifolium","X.J.Li"
"Clastobryum","Clastobryum cuculligerum","(Sande Lac.) Tixier","Clastobryum cuculligerum","(Sande Lac.) Tixier"
"Venturiella","Venturiella coronata","(Hook. & Wilson) Pursell","Venturiella coronata","(Hook. & Wilson) Pursell"
"Aquilonium","Aquilonium adscendens","(Lindb.) Hedenäs, Schlesak & D.Quandt","Campylium adscendens","(Lindb.) Perss."
"Asterella","Asterella californica","(Hampe ex Austin) Underw.","Calasterella californica","(Hampe ex Austin, 1895) D.G.Long & T.X.Zheng.A, 2023"
"Papillidiopsis","Papillidiopsis luxurians","(Dozy & Molk.) W.R.Buck & B.C.Tan","Papillidiopsis luxurians","(Dozy & Molk.) W.R.Buck & B.C.Tan"
"Riccardia","Riccardia hawaica","(Steph.) H.A.Mill.","Riccardia hawaica","(Steph.) H.A.Mill."
"Riccia","Riccia albovestita","O.H.Volk","Riccia albovestita","O.H.Volk"
"Plagiochila","Plagiochila vitiensis","Mitt.","Plagiochila vitiensis","Mitt."
"Acromastigum","Acromastigum laevigatum","A.Evans","Acromastigum laevigatum","A.Evans"
"Targionia","Targionia lorbeeriana","K.Müller","Targionia lorbeeriana","K.Müller"
"Fissidens","Fissidens cylindraceus","Mitt.","Fissidens cylindraceus","Mitt."
"Orthotrichum","Orthotrichum cupulatum var. cupulatum","","Orthotrichum cupulatum var. cupulatum",""
"Lejeunea","Lejeunea serpillifolioides","(Raddi) Gradst.","Lejeunea serpillifolioides","(Raddi) Gradst."
"Plagiochila","Plagiochila obtusa","Lindenb.","Plagiochila obtusa","Lindenb."
"Jackiella","Jackiella curvata","E.A.Hodgs. & Allison","Jackiella curvata","E.A.Hodgs. & Allison"
"Pseudocrossidium","Pseudocrossidium exiguum","M.J.Cano & J.A.Jiménez","Pseudocrossidium exiguum","M.J.Cano & J.A.Jiménez"
"Chionoloma","Chionoloma fractum","M.J.Cano, J.A.Jiménez & M.Alonso","Chionoloma fractum","M.J.Cano, J.A.Jiménez & M.Alonso"
"Encalypta","Encalypta peruviana","Broth.","Encalypta peruviana","Broth."
"Dicranella","Dicranella grevilleana","(Brid.) Schimp.","Anisothecium grevilleanum","(Brid.) Lindb."
"Plagiochila","Plagiochila tagawae","Inoue","Plagiochila tagawae","Inoue"
"Aequitriradites","Aequitriradites baculatus","Döring, 1964","Aequitriradites baculatus","Döring, 1964"
"Epipterygium","Epipterygium rigidum","Lindb.","Epipterygium rigidum","Lindb."
"Microlejeunea","Microlejeunea dispar","Jovet-Ast","Microlejeunea dispar","Jovet-Ast"
"Sematophyllum","Sematophyllum microcarpoides","(Müll.Hal.) Broth.","Sematophyllum microcarpoides","(Müll.Hal.) Broth."
"Chaetomitrium","Chaetomitrium nanohystrix","Müll.Hal.","Chaetomitrium nanohystrix","Müll.Hal."
"Brachymenium","Brachymenium erubescens","(Müll.Hal.) Kindb.","Brachymenium erubescens","(Müll.Hal.) Kindb."
"Leptolejeunea","Leptolejeunea micronesica","Inoue & H.A.Mill.","Leptolejeunea micronesica","Inoue & H.A.Mill."
"Plagiochila","Plagiochila irregularis","Gottsche","Plagiochila irregularis","Gottsche"
"Radula","Radula pseudostachya","Spruce","Radula pseudostachya","Spruce"
"Schizymenium","Schizymenium decurrens","(Müll.Hal.) A.J.Shaw","Schizymenium decurrens","(Müll.Hal.) A.J.Shaw"
"Epipterygium","Epipterygium dusenii","Müll.Hal.","Epipterygium dusenii","Müll.Hal."
"Zoopsis","Zoopsis setigera","K.I.Goebel","Zoopsis setigera","K.I.Goebel"
"Radula","Radula tonitrua","Pócs & M.A.M.Renner","Radula tonitrua","Pócs & M.A.M.Renner"
"Haplocladium","Haplocladium percapillatum","(Sakurai) Sakurai","Haplocladium percapillatum","(Sakurai) Sakurai"
"Stolonivector","Stolonivector obtusilobus","J.J.Engel","Stolonivector obtusilobus","J.J.Engel"
"Pleuridium","Pleuridium viride","(Müll.Hal.) Kindb.","Pleuridium viride","(Müll.Hal.) Kindb."
"Drepanolejeunea","Drepanolejeunea dentistipula","Steph.","Drepanolejeunea dentistipula","Steph."
"Radula","Radula pseudoflaccida","E.W.Jones","Radula pseudoflaccida","E.W.Jones"
"Splachnum","Splachnum vasculosum","Hedw.","Splachnum heterophyllum","Drumm."
"Radula","Radula renneri","F.R.Oliveira-da-Silva, Ilk.-Borg. & Gradst.","Radula renneri","F.R.Oliveira-da-Silva, Ilk.-Borg. & Gradst."
"Chiloscyphus","Chiloscyphus longifissus","Steph.","Chiloscyphus longifissus","Steph."
"Radula","Radula grandilobula","Promma & Chantanaorr.","Radula grandilobula","Promma & Chantanaorr."
"Fissidens","Fissidens subundatus","Dury","Fissidens subundatus","Dury"
"Wiesnerella","Wiesnerella fasciaria","C.Gao & K.C.Chang","Wiesnerella fasciaria","C.Gao & K.C.Chang"
"Hyophila","Hyophila leioneura","Renauld & Paris","Hyophila leioneura","Renauld & Paris"
"Lewinskya","Lewinskya firma","(Venturi) F.Lara, Garilleti & Goffinet","Lewinskya firma","(Venturi) F.Lara, Garilleti & Goffinet"
"Rhynchostegium","Rhynchostegium cataractile","Paris","Rhynchostegium cataractile","Paris"
"Ctenidium","Ctenidium molluscum","(Hedw.) Mitt.","Hypnum crista-castrensis","Roth ex DC."
"Trichosteleum","Trichosteleum confertulum","A.Jaeger","Trichosteleum confertulum","A.Jaeger"
"Grimmia","Grimmia atrata","Miel. ex Hornsch.","Grimmia atrata","Mielichh."
"Dicranum","Dicranum arcuatipes","Müll.Hal.","Dicranum arcuatipes","Müll.Hal."
"Hookeriopsis","Hookeriopsis balazsii","Bizot","Hookeriopsis balazsii","Bizot"
"Plagiochila","Plagiochila punctata var. paucidentata","(Mont. & Gottsche) Gradst.","Plagiochila punctata var. paucidentata","(Mont. & Gottsche) Gradst."
"Lejeunea","Lejeunea madangensis","G.E.Lee & Pócs","Lejeunea madangensis","G.E.Lee & Pócs"
"Rosulabryum","Rosulabryum coloratum","(Müll.Hal.) J.R.Spence","Rosulabryum coloratum","(Müll.Hal.) J.R.Spence"
"Thamnobryum","Thamnobryum angustifolium","(Holt ex Hobk.) Nieuwl.","Thamnobryum angustifolium","(Holt ex Hobk.) Nieuwl."
"Lepidozia","Lepidozia cupressina","(Sw.) Lindenb.","Lepidozia cupressina","(Sw.) Lindenb."
"Tritomaria","Tritomaria exsectiformis","(Breidl.) Schiffn. ex Loeske","Tritomaria exsectiformis","(Breidl.) Schiffn. ex Loeske"
"Chionoloma","Chionoloma recurvifolium","(Taylor) M.Alonso, M.J.Cano & J.A.Jiménez","Chionoloma recurvifolium","(Taylor) M.Alonso, M.J.Cano & J.A.Jiménez"
"Scapania","Scapania nimbosa","Taylor ex Lehm.","Scapania nimbosa","Taylor ex Lehm."
"Rhynchostegium","Rhynchostegium megapolitanum","(Blandow ex F.Weber & D.Mohr) Schimp.","Rhynchostegium megapolitanum","(Blandow ex F.Weber & D.Mohr) Schimp."
"Weissia","Weissia levieri","(Limpr.) Kindb.","Weissia levieri","(Limpr.) Kindb."
"Riccardia","Riccardia multifida","(L.) Gray","Riccardia multifida","(L.) Gray"
"Schistidium","Schistidium occidentale","(E.Lawton) S.P.Churchill","Grimmia occidentalis","E.Lawton"
"Trematodon","Trematodon longicollis","Michx.","Trematodon longicollis","Michx."
"Lepidopilum","Lepidopilum apophysatum","Hampe","Lepidopilum apophysatum","Hampe"
"Palamocladium","Palamocladium leskeoides","(Hook.) E.Britton","Homalothecium leskeoides","(Hook.) H.Rob."
"Plagiochila","Plagiochila arctica","Bryhn & Kaal.","Plagiochila arctica","Bryhn & Kaal."
"Campylopus","Campylopus acuminatus var. kirkii","(Mitt. ex Beckett) J.-P.Frahm","Campylopus acuminatus var. kirkii","(Mitt. ex Beckett) J.-P.Frahm"
"Tortula","Tortula lindbergii","Kindb. ex Broth.","Pottia lanceolata","(Hedw.) Müll.Hal."
"Hennediella","Hennediella kunzeana","(Müll.Hal.) R.H.Zander","Hennediella kunzeana","(Müll.Hal.) R.H.Zander"
"Jackiella","Jackiella javanica","Schiffn.","Jackiella javanica","Schiffn."
"Anomodon","Anomodon minor var. inaequalifolius","E.B.Bartram","Anomodon minor var. inaequalifolius","E.B.Bartram"
"Fissidens","Fissidens rigidulus var. pseudostrictus","J.E.Beever","Fissidens rigidulus var. pseudostrictus","J.E.Beever"
"Brachytheciastrum","Brachytheciastrum collinum","(Schleich. ex Müll.Hal.) Ignatov & Huttunen","Brachytheciastrum collinum","(Schleich. ex Müll.Hal.) Ignatov & Huttunen"
"Ectropothecium","Ectropothecium paillotii","Renauld & Cardot","Ectropothecium paillotii","Renauld & Cardot"
"Dicranum","Dicranum pallidisetum","(J.W.Bailey) Ireland","Dicranum pallidisetum","(J.W.Bailey) Ireland"
"Aloina","Aloina bifrons","(De Not.) Delgad.","Aloina bifrons","(De Not.) Delgad."
"Pseudisothecium","Pseudisothecium holtii","(Kindb.) Ignatova, Fedosov & Ignatov","Isothecium holtii","Kindb."
"Fabronia","Fabronia matsumurae","Besch.","Fabronia matsumurae","Besch."
"Straminergon","Straminergon stramineum","(Dicks. ex Brid.) Hedenäs","Calliergon stramineum var. patens","(Lindb.) G.Roth"
"Lepidozia","Lepidozia pumila","J.J.Engel","Lepidozia pumila","J.J.Engel"
"Anoectangium","Anoectangium mafatense","Renauld & Cardot","Anoectangium mafatense","Renauld & Cardot"
"Homalothecium","Homalothecium philippeanum","(Spruce) Schimp.","Homalothecium philippeanum","(Spruce) Schimp."
"Ptychostomum","Ptychostomum intermedium","(Brid.) J.R.Spence","Bryum intermedium","(Brid.) Blandow"
"Schistidium","Schistidium brunnescens","Limpr.","Schistidium brunnescens","Limpr."
"Atrichum","Atrichum cylindricum","(Willd. ex F.Weber) G.L.Sm.","Atrichum undulatum var. attenuatum","Bruch & Schimp."
"Hepatostolonophora","Hepatostolonophora rotata var. rotata","","Hepatostolonophora rotata var. rotata",""
"Diphyscium","Diphyscium pocsii","(Bizot) R.H.Zander","Diphyscium pocsii","(Bizot) R.H.Zander"
"Bryum","Bryum crassinervum","(Herzog) A.J.Shaw","Bryum crassinervum","(Herzog) A.J.Shaw"
"Neobarbella","Neobarbella comes","(Griff.) Nog.","Neobarbella comes","(Griff.) Nog."
"Orthotrichum","Orthotrichum bicolor","Thér.","Orthotrichum bicolor","Thér."
"Ceratolejeunea","Ceratolejeunea desciscens","(Sande Lac.) Schiffn.","Ceratolejeunea desciscens","(Sande Lac.) Schiffn."
"Macromitrium","Macromitrium tenax","Müll.Hal.","Macromitrium tenax","Müll.Hal."
"Kurzia","Kurzia capillaris ssp. stephanii","(Renauld ex Steph.) Pócs","Kurzia capillaris ssp. stephanii","(Renauld ex Steph.) Pócs"
"Neurolejeunea","Neurolejeunea sastreana","Gradst.","Neurolejeunea sastreana","Gradst."
"Philonotis","Philonotis lignicola","Dism. & Herzog","Philonotis lignicola","Dism. & Herzog"
"Weissia","Weissia ligulifolia","(E.B.Bartram) Grout","Weissia ligulifolia","(E.B.Bartram) Grout"
"Nothoceros","Nothoceros endiviifolius","(Mont.) J.Haseg. ex J.C.Villarreal, Hässel & Salazar Allen","Nothoceros endiviifolius","(Mont.) J.Haseg. ex J.C.Villarreal, Hässel & Salazar Allen"
"Mnioloma","Mnioloma caespitosum","(Spruce) R.M.Schust.","Mnioloma caespitosum","(Spruce) R.M.Schust."
"Pireella","Pireella trichomanoides","(Spruce ex Mitt.) Cardot","Pireella trichomanoides","(Spruce ex Mitt.) Cardot"
"Syntrichia","Syntrichia chisosa","(Magill, Delgad. & L.R.Stark) R.H.Zander","Syntrichia chisosa","(Magill, Delgad. & L.R.Stark) R.H.Zander"
"Sematophyllum","Sematophyllum erythropodium","Mitt.","Sematophyllum erythropodium","Mitt."
"Scorpidium","Scorpidium cossonii","(Schimp.) Hedenäs","Drepanocladus cossonii","(Schimp.) Loeske"
"Paracromastigum","Paracromastigum longiscyphum","(Taylor) R.M.Schust. & J.J.Engel","Paracromastigum longiscyphum","(Taylor) R.M.Schust. & J.J.Engel"
"Brittonodoxa","Brittonodoxa cataractae","(W.R.Buck) W.R.Buck, P.E.A.S.Câmara & Carv.-Silva","Brittonodoxa cataractae","(W.R.Buck) W.R.Buck, P.E.A.S.Câmara & Carv.-Silva"
"Lepidozia","Lepidozia densa","Herzog","Lepidozia densa","Herzog"
"Hypopterygium","Hypopterygium parvifolium","(Bosch & Sande Lac.) A.J.Shaw, I.H.Holz, C.J.Cox & Goffinet","Hypopterygium parvifolium","(Bosch & Sande Lac.) A.J.Shaw, I.H.Holz, C.J.Cox & Goffinet"
"Lejeunea","Lejeunea debilis","(Lehm. & Lindenb.) Nees & Mont.","Lejeunea debilis","(Lehm. & Lindenb.) Nees & Mont."
"Isodrepanium","Isodrepanium arcuatum","(Bosch & Sande Lac.) J.J.Wang & Y.Jia","Isodrepanium arcuatum","(Bosch & Sande Lac.) J.J.Wang & Y.Jia"
