"acgenus","actaxon","acauth","taxon","auth"
"Ditrichum","Ditrichum tortipes","(Mitt.) Kuntze","Ditrichum tortipes","(Mitt.) Kuntze"
"Pohlia","Pohlia obtusifolia","(Vill. ex Brid.) L.F.Koch","Pohlia cucullata","(Schwägr.) Bruch"
"Bazzania","Bazzania indigenarum","(Steph.) N.Kitag.","Bazzania indigenarum","(Steph.) N.Kitag."
"Ptychostomum","Ptychostomum weigelii","(Biehler) J.R.Spence","Bryum weigelii","Biehler"
"Ochrobryum","Ochrobryum sessile","B.H.Allen","Ochrobryum sessile","B.H.Allen"
"Hydrogonium","Hydrogonium amplexifolium","(Mitt.) P.C.Chen","Hydrogonium amplexifolium","(Mitt.) P.C.Chen"
"Philonotis","Philonotis rufiflora","(Hornsch.) Reichardt","Philonotis rufiflora","(Hornsch.) Reichardt"
"Distichophyllum","Distichophyllum nanospathulatum","Herzog","Distichophyllum nanospathulatum","Herzog"
"Barbula","Barbula farriae","H.A.Crum & E.B.Bartram","Barbula farriae","H.A.Crum & E.B.Bartram"
"Sphagnum","Sphagnum platyphyllum","(Lindb. ex Braithw.) Sull. ex Warnst.","Sphagnum platyphyllum","(Lindb. ex Braithw.) Sull."
"Cololejeunea","Cololejeunea dianae","M.Wigginton","Cololejeunea dianae","M.Wigginton"
"Zygodon","Zygodon rupestris","Schimp. ex Lorentz","Zygodon rufotomentosus","E.Britton ex Malta"
"Sphagnum","Sphagnum garysmithii","H.A.Crum","Sphagnum garysmithii","H.A.Crum"
"Balantiopsis","Balantiopsis ciliaris","S.Hatt.","Balantiopsis ciliaris","S.Hatt."
"Fissidens","Fissidens minutifrons","Pursell & D.H.Norris","Fissidens minutifrons","Pursell & D.H.Norris"
"Entodontopsis","Entodontopsis cultelliformis","(Sull.) B.H.Allen","Entodontopsis cultelliformis","(Sull.) B.H.Allen"
"Plagiochila","Plagiochila ampliata","Steph.","Plagiochila ampliata","Steph."
"Thysananthus","Thysananthus auriculatus var. rhodesicus","(Vanden Berghen) Sukkharak & Gradst.","Thysananthus auriculatus var. rhodesicus","(Vanden Berghen) Sukkharak & Gradst."
"Acrolejeunea","Acrolejeunea sinensis","(Jian Wang bis, R.L.Zhu & Gradst.) Jian Wang bis & Gradst.","Acrolejeunea sinensis","(Jian Wang bis, R.L.Zhu & Gradst.) Jian Wang bis & Gradst."
"Frullania","Frullania pusilla","Mitt.","Frullania pusilla","Mitt."
"Neckeromnion","Neckeromnion calcutense","(M.Fleisch.) S.Olsson, Enroth, Huttunen & D.Quandt","Neckeromnion calcutense","(M.Fleisch.) S.Olsson, Enroth, Huttunen & D.Quandt"
"Schistidium","Schistidium strictum","(Turner) Loeske ex Mårtensson","Grimmia stricta","Turner"
"Cephaloziella","Cephaloziella acanthophora","(S.Hatt.) Horik.","Cephaloziella acanthophora","(S.Hatt.) Horik."
"Cryptolophocolea","Cryptolophocolea martiana var. perissodonta","(Spruce) Gradst.","Cryptolophocolea martiana var. perissodonta","(Spruce) Gradst."
"Isopterygium","Isopterygium tenerum","(Sw.) Mitt.","Isopterygium micans var. minus","(Grout) H.A.Crum & L.E.Anderson"
"Tomentypnum","Tomentypnum involutum","(Limpr.) Hedenäs & Ignatov","Tomentypnum nitens var. involutum","(Limpr.) C.E.O.Jensen"
"Calyptrochaeta","Calyptrochaeta subremotifolia","(Broth.) Fife","Calyptrochaeta subremotifolia","(Broth.) Fife"
"Entosthodon","Entosthodon diversinervis","Müll.Hal.","Entosthodon diversinervis","Müll.Hal."
"Frullania","Frullania meijeri","S.Hatt.","Frullania meijeri","S.Hatt."
"Barbula","Barbula glaucula","Müll.Hal.","Barbula glaucula","Müll.Hal."
"Aneura","Aneura novaecaledoniae","R.M.Schust.","Aneura novaecaledoniae","R.M.Schust."
