"ELEMENT_GLOBAL_ID","LINKAGE","SUBNATION_ID","stateCode","stateName","stateName2","stateRank","REL_STD_TO_NONSTD_CD","REL_NONSTD_TO_STD_CD","CONFIDENCEDESC","crosswalkNote"
721914,"1 direct",25,"CEGL006844","[gname]","<i>Amorpha fruticosa</i> Tidal Shrub Swamp","SNR",":=",":=","Certain",""
721904,"1 direct",11,"CEGL006846","Brackish Tidal Creek Shrubland","Brackish Tidal Creek Shrubland","SNR",":=",":=","Certain",""
721904,"1 direct",25,"CEGL006846","[gname]","<i>Morella cerifera - Baccharis halimifolia / Eleocharis fallax</i> Tidal Shrubland","S3",":=",":=","Certain",""
801957,"1 direct",38,"CEGL006848","<i>Iva frutescens / Spartina patens</i> Shrubland","<i>Iva frutescens / Spartina patens</i> Shrubland","S2S3",":=",":=","Certain",""
801957,"1 direct",53,"CEGL006848","<i>Iva frutescens / Spartina patens - Distichlis spicata</i> Tidal Shrubland","<i>Iva frutescens / Spartina patens - Distichlis spicata</i> Tidal Shrubland","SU",":=",":=","Certain",""
801957,"1 direct",25,"CEGL006848","[gname]","<i>Iva frutescens / Spartina patens</i> Saline Shrubland","S5",":=",":=","Certain",""
917080,"1 direct",25,"CEGL006852","[gname]","<i>Chamaedaphne calyculata - Vaccinium macrocarpon / Rhynchospora alba / Sphagnum</i> spp. Acidic Peatland","S1",":=",":=","Certain",""
917083,"1 direct",25,"CEGL006853","[gname]","<i>Juncus pelocarpus - Rhynchospora alba - (Nymphaea odorata ssp. odorata)</i> Marsh","S1",":=",":=","Certain",""
742058,"1 direct",38,"CEGL006901","<i>Platanus occidentalis - Fraxinus pennsylvanica - Ulmus americana / Cornus sericea</i> Forest","<i>Platanus occidentalis - Fraxinus pennsylvanica - Ulmus americana / Cornus sericea</i> Forest","S1S2",":=",":=","Certain","Moved EST here from CENJ006901 (KLS 2019-06-08)."
742058,"1 direct",25,"CEGL006901","[gname]","<i>Platanus occidentalis - Fraxinus pennsylvanica - Ulmus americana / Cornus sericea</i> Floodplain Forest","SNA",":=",":=","Certain",""
742150,"1 direct",38,"CEGL006903","<i>Leersia oryzoides - Sparganium chlorocarpum - Polygonum amphibium</i> herbaceous vegetation","<i>Leersia oryzoides - Sparganium chlorocarpum - Polygonum amphibium</i> herbaceous vegetation","S3",":=",":=","Certain","Moved EST here from CENJ006903 (KLS 2019-06-08)."
683563,"1 direct",53,"CEGL006913","<i>Nelumbo lutea</i> Tidal Herbaceous Vegetation","<i>Nelumbo lutea</i> Tidal Herbaceous Vegetation","S2?",":=",":=","Certain",""
683563,"1 direct",11,"CEGL006913","American Lotus Tidal Marsh","American Lotus Tidal Marsh","SNR",":=",":=","Certain",""
683563,"1 direct",25,"CEGL006913","[gname]","<i>Nelumbo lutea</i> Tidal Marsh","SNR",":=",":=","Certain",""
685866,"1 direct",11,"CEGL006976","Northern Coastal Plain Successional Floodplain Forest","Northern Coastal Plain Successional Floodplain Forest","SNA",":=",":=","Certain","Floodplain forest that is co-dominated by river birch (<i>Betula nigra</i>), red maple (<i>Acer rubrum</i>) and green ash (<i>Fraxinus pennsylvanica</i>)."
685866,"1 direct",25,"CEGL006976","[gname]","<i>Betula nigra - Acer rubrum - (Liquidambar styraciflua) / Microstegium vimineum</i> Ruderal Floodplain Forest","SNA",":=",":=","Certain",""
859986,"1 direct",53,"CEGL007006","<i>Liquidambar styraciflua - Quercus (michauxii, shumardii) - Carya cordiformis / Ilex decidua / Carex amphibola</i> Forest","<i>Liquidambar styraciflua - Quercus (michauxii, shumardii) - Carya cordiformis / Ilex decidua / Carex amphibola</i> Forest","S3",":=",":=","Certain",""
866803,"1 direct",53,"CEGL007013","<i>Platanus occidentalis - Celtis occidentalis - Ulmus americana - Fraxinus pennsylvanica / Acer negundo / Chasmanthium latifolium</i> Forest","<i>Platanus occidentalis - Celtis occidentalis - Ulmus americana - Fraxinus pennsylvanica / Acer negundo / Chasmanthium latifolium</i> Forest","S3",":=",":=","Certain",""
861497,"1 direct",14,"CEGL007014","[gname]","<i>(Pinus palustris) / Prunus umbellata - Rhus aromatica / Piptochaetium avenaceum - Schizachyrium scoparium</i> Scrub Grassland","SNR",":=",":=","Certain",""
689320,"1 direct",14,"CEGL007021","[gname]","<i>Quercus hemisphaerica / Smilax</i> spp. Ruderal Forest","SNA",":=",":=","Certain",""
867537,"1 direct",14,"CEGL007046","[gname]","<i>Acer rubrum - Fraxinus pennsylvanica / Lindera benzoin / Osmunda regalis - Pedicularis lanceolata</i> Seep Forest","SNR",":=",":=","Certain",""
867540,"1 direct",14,"CEGL007048","[gname]","<i>Physocarpus opulifolius - Alnus serrulata / Osmunda regalis - Parnassia grandifolia - Eryngium integrifolium</i> Seepage Shrubland","SNR",":=",":=","Certain",""
867410,"1 direct",14,"CEGL007052","[gname]","<i>Salix caroliniana</i> Coastal Plain Wet Shrubland","SNR",":=",":=","Certain",""
868705,"1 direct",25,"CEGL007054","[gname]","<i>Nyssa biflora - (Taxodium distichum) / Clethra alnifolia - Viburnum nudum / Woodwardia areolata</i> Floodplain Forest","S2",":=",":=","Certain",""
868705,"1 direct",53,"CEGL007054","<i>Nyssa biflora</i> - (<i>Taxodium distichum</i>) / <i>Clethra alnifolia</i> - <i>Viburnum nudum</i> / <i>Lorinseria areolata</i> Forest","<i>Nyssa biflora</i> - (<i>Taxodium distichum</i>) / <i>Clethra alnifolia</i> - <i>Viburnum nudum</i> / <i>Lorinseria areolata</i> Forest","S3?",":=",":=","Certain",""
868660,"1 direct",45,"CEGL007056","[gname]","<i>Pinus rigida / Osmunda cinnamomea - Carex stricta - Eriophorum virginicum / Sphagnum</i> spp. Swamp Woodland","S2",":=",":=","Certain",""
868660,"1 direct",58,"CEGL007056","[gname]","<i>Pinus rigida / Osmunda cinnamomea - Carex stricta - Eriophorum virginicum / Sphagnum</i> spp. Swamp Woodland","S1",":=",":=","Certain",""
868660,"1 direct",53,"CEGL007056","<i>Pinus rigida / Osmundastrum cinnamomeum - Carex stricta - Eriophorum virginicum / Sphagnum</i> spp. Wooded Herbaceous Vegetation","<i>Pinus rigida / Osmundastrum cinnamomeum - Carex stricta - Eriophorum virginicum / Sphagnum</i> spp. Wooded Herbaceous Vegetation","S1",":=",":=","Certain",""
946476,"1 direct",53,"CEGL007073","<i>(Juniperus virginiana) / Sporobolus vaginiflorus - Panicum flexile - Allium cernuum - Minuartia patula</i> Herbaceous Vegetation","<i>(Juniperus virginiana) / Sporobolus vaginiflorus - Panicum flexile - Allium cernuum - Minuartia patula</i> Herbaceous Vegetation","S1",":=",":=","Certain",""
683834,"1 direct",53,"CEGL007131","<i>Picea rubens / Viburnum lantanoides - Vaccinium erythrocarpum / Huperzia lucidula - Clintonia borealis </i>Forest","<i>Picea rubens / Viburnum lantanoides - Vaccinium erythrocarpum / Huperzia lucidula - Clintonia borealis </i>Forest","S1",":=",":=","Certain",""
683834,"1 direct",58,"CEGL007131","<i>Picea rubens / Vaccinium erythrocarpum / Dryopteris campyloptera</i> Forest","<i>Picea rubens / Vaccinium erythrocarpum / Dryopteris campyloptera</i> Forest","S1",":=",":=","Certain",""
689515,"1 direct",14,"CEGL007142","[gname]","<i>Pinus taeda</i> Riparian Forest","SNR",":=",":=","Certain",""
685507,"1 direct",14,"CEGL007143","[gname]","<i>Tsuga canadensis - Liriodendron tulipifera - Platanus occidentalis / Rhododendron maximum - Xanthorhiza simplicissima</i> Wet Forest","SNR",":=",":=","Certain",""
685507,"1 direct",50,"CEGL007143","[gname]","<i>Tsuga canadensis - Liriodendron tulipifera - Platanus occidentalis / Rhododendron maximum - Xanthorhiza simplicissima</i> Wet Forest","SNR",":=",":=","Certain",""
684467,"1 direct",14,"CEGL007166","[gname]","<i>Juniperus virginiana var. silicicola / Morella cerifera / Kosteletzkya virginica - Bacopa monnieri</i> Tidal Woodland","SNR",":=",":=","Certain",""
683841,"1 direct",2,"CEGL007213","<i>Quercus alba - Fagus grandifolia / Hydrangea quercifolia - Viburnum acerifolium / Carex picta - Polystichum acrostichoides</i> Forest","<i>Quercus alba - Fagus grandifolia / Hydrangea quercifolia - Viburnum acerifolium / Carex picta - Polystichum acrostichoides</i> Forest","S1",":=",":=","Certain",""
