"ELEMENT_GLOBAL_ID","PREDECESSOR_ID","predecessorCode","predecessorName","predecessorSciName","predecessorColloquialName","lineageDate","lineageNote","lineageAuthorizedBy"
860815,1161750,"G937","Polynesian Ruderal Dry Woodland & Scrub","Polynesian Ruderal Dry Woodland & Scrub Group","Polynesian Ruderal Dry Woodland & Scrub",2024-01-23 12:00:00,"same concept","D. Faber-Langendoen"
1298927,860216,"C03","Desert & Semi-Desert","Xeromorphic Woodland, Scrub & Herb Vegetation Class","Desert & Semi-Desert",2024-01-23 12:00:00,"minor predecessor","D. Faber-Langendoen"
1298931,860216,"C03","Desert & Semi-Desert","Xeromorphic Woodland, Scrub & Herb Vegetation Class","Desert & Semi-Desert",2024-01-23 12:00:00,"largely equivalent","D. Faber-Langendoen"
1333042,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-12-06 12:00:00,"","D. Faber-Langendoen"
1298950,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298949,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298968,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298964,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298930,860233,"S18","Temperate & Boreal Grassland & Shrubland","Temperate & Boreal Grassland & Shrubland Subclass","Temperate & Boreal Grassland & Shrubland",2024-01-23 12:00:00,"largely equivalent","D. Faber-Langendoen"
1298948,860220,"S02","Tropical Open Rock Vegetation","Tropical Open Rock Vegetation Subclass","Tropical Open Rock Vegetation",2024-01-23 12:00:00,"same concept","D. Faber-Langendoen"
1298981,860255,"F018","Warm Temperate Forest & Woodland","Warm Temperate Forest &amp; Woodland Formation","Warm Temperate Forest & Woodland",2024-01-23 12:00:00,"split of 1.B.1","D. Faber-Langendoen"
1298979,860255,"F018","Warm Temperate Forest & Woodland","Warm Temperate Forest &amp; Woodland Formation","Warm Temperate Forest & Woodland",2024-01-23 12:00:00,"split of 1.B.1","D. Faber-Langendoen"
1298945,860255,"F018","Warm Temperate Forest & Woodland","Warm Temperate Forest &amp; Woodland Formation","Warm Temperate Forest & Woodland",2024-12-06 12:00:00,"largely equivalent","D. Faber-Langendoen"
