"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Riccia intermedia","Roum.","Riccia intermedia","Roum.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia iodocheila","M.Howe","Riccia iodocheila","M.Howe","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia jovet-astiae","E.Vianna","Riccia jovet-astiae","E.Vianna","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia junghuhniana","Nees & Lindenb.","Riccia junghuhniana","Nees & Lindenb.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia junghuhniana var. simplex","Schiffn.","Riccia junghuhniana var. simplex","Schiffn.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia lamellosa","Raddi","Riccia americana","(M.Howe) M.Howe","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia lamellosa","Raddi","Riccia austinii","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia lamellosa","Raddi","Riccia lamellosa","Raddi","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia lanceolata","Steph.","Riccia lanceolata","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia laxisquamata","(Steph.) Steph.","Riccia laxisquamata","(Steph.) Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia leptothallus","R.M.Schust.","Riccia leptothallus","R.M.Schust.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia ligula","Steph.","Riccia ligula","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia limbata","Bisch.","Riccia lata","Taylor","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia limbata","Bisch.","Riccia limbata","Bisch.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia limbata","Bisch.","Riccia punctata","Taylor","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
