"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Lyngbya wollei","Farlow","Microseira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Cyanobacteria"
"Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Microseira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Cyanobacteria"
"Capsosira brebissonii","Kütz. ex Bornet & Flahault","Capsosira brebissonii","Kütz. ex Bornet & Flahault","Capsosira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Capsosiraceae","Cyanobacteria"
"Moorea bouillonii","","Moorea bouillonii","","Moorea","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Cyanobacteria"
"Geitleria calcarea","Friedmann, 1955","Geitleria calcarea","Friedmann, 1955","Geitleria","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitleriaceae","Cyanobacteria"
"Mitcheldeania nicholsoni","Wethered, 1886","Mitcheldeania nicholsoni","Wethered, 1886","Mitcheldeania","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Ottonosia laminata","Twenhofel, 1919","Ottonosia laminata","Twenhofel, 1919","Ottonosia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Stromatocerium richmondense","(Miller, 1882)","Stromatocerium richmondense","(Miller, 1882)","Stromatocerium","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Affixifilum granulosum","(Caires, Sant'Anna & Nunes) Lefler, D.E.Berthold & Laughinghouse","Affixifilum granulosum","(Caires, Sant'Anna & Nunes) Lefler, D.E.Berthold & Laughinghouse","Affixifilum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia agardhii","(P.L.Crouan & H.M.Crouan) Anagn. & Komárek","Leibleinia agardhii","(P.L.Crouan & H.M.Crouan) Anagn. & Komárek","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia epiphytica","(Hieron.) Compère","Leibleinia epiphytica","(Hieron.) Compère","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia epiphytica","(Hieron.) Compère","Lyngbya epiphytica","Hieron.","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia willei","(Setchell & N.L.Gardner) P.C.Silva","Leibleinia willei","(Setchell & N.L.Gardner) P.C.Silva","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Neolyngbya arenicola","T.A.Caires, C.L.Sant'Anna & J.M.C.Nunes","Neolyngbya arenicola","T.A.Caires, C.L.Sant'Anna & J.M.C.Nunes","Neolyngbya","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum coccineum","(Gomont) Anagnostidis, 2001","Symplocastrum coccineum","(Gomont) Anagnostidis, 2001","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum friesii","(Gomont) Kirchn.","Schizothrix friesii","Gomont","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum friesii","(Gomont) Kirchn.","Symplocastrum friesii","(Gomont) Kirchn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum muelleri","(Nägeli ex Gomont) Anagn.","Symplocastrum muelleri","(Nägeli ex Gomont) Anagn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum purpurascens","(Gomont) Anagn.","Schizothrix purpurascens","Gomont ex Gomont","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum purpurascens","(Gomont) Anagn.","Symplocastrum purpurascens","(Gomont) Anagn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Aetokthonos hydrillicola","","Aetokthonos hydrillicola","","Aetokthonos","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cyanobacteria"
"Anabaina pseudoscillatoria","Bory de Saint Vincent","Anabaina pseudoscillatoria","Bory de Saint Vincent","Anabaina","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cyanobacteria"
"Hormothamnion enteromorphoides","","Hormothamnion enteromorphoides","","Hormothamnion","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cyanobacteria"
"Hormothamnium solutum","Bornet & Grunow","Hormothamnium solutum","Bornet & Grunow","Hormothamnium","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cyanobacteria"
"Komarekiella atlantica","Hentschke, J.R.Johansen & Sant'Anna","Komarekiella atlantica","Hentschke, J.R.Johansen & Sant'Anna","Komarekiella","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cyanobacteria"
"Amphithrix violacea","(Kützing) Bornet & Flahault, 1886","Amphithrix violacea","(Kützing) Bornet & Flahault, 1886","Amphithrix","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Rivulariaceae","Cyanobacteria"
"Phyllonema aviceniicola","D.O.Alvarenga et al.","Phyllonema aviceniicola","D.O.Alvarenga et al.","Phyllonema","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Rivulariaceae","Cyanobacteria"
"Sirosiphon ocellatum","(Dillwyn) Kützing","Sirosiphon ocellatum","(Dillwyn) Kützing","Sirosiphon","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Stigonemataceae","Cyanobacteria"
"Dasygloea lamyi","(Gomont) Senna & Komárek","Dasygloea lamyi","(Gomont) Senna & Komárek","Dasygloea","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Dasygloea lamyi","(Gomont) Senna & Komárek","Schizothrix lamyi","Gomont","Dasygloea","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Sirocoleum kurzii","Gomont","Sirocoleum kurzii","Gomont","Sirocoleum","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Trichocoleus acutissimus","(Gardner) Anagnostidis, 2001","Microcoleus acutissimus","Gardner, 1927","Trichocoleus","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Trichocoleus acutissimus","(Gardner) Anagnostidis, 2001","Trichocoleus acutissimus","(Gardner) Anagnostidis, 2001","Trichocoleus","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Trichocoleus tenerrimus","(Gomont) Anagn.","Schizothrix tenerrima","(Gomont) F.E.Drouet","Trichocoleus","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Trichocoleus tenerrimus","(Gomont) Anagn.","Trichocoleus tenerrimus","(Gomont) Anagn.","Trichocoleus","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Aphanocapsa grevillei","(Berk.) Rabenh.","Aphanocapsa grevillei","(Berk.) Rabenh.","Aphanocapsa","Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Merismopediaceae","Cyanobacteria"
"Aphanocapsa grevillei","(Berk.) Rabenh.","Gloeocystis grevillei","(Berkeley) Drouet & Dailey, 1948","Aphanocapsa","Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Merismopediaceae","Cyanobacteria"
"Gloeocapsa polydermatica","Kütz.","Gloeocapsa polydermatica","Kütz.","Gloeocapsa","Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Cyanobacteria"
"Anabaenopsis circularis","(G.S.West) Wołosz. & V.V.Mill.","Anabaenopsis circularis","(G.S.West) Wołosz. & V.V.Mill.","Anabaenopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Aphanizomenon flosaquae","Ralfs ex Bornet & Flahault","Aphanizomenon flos-aquae","(L.) Ralfs","Aphanizomenon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Aphanizomenon flosaquae","Ralfs ex Bornet & Flahault","Aphanizomenon flosaquae","Ralfs ex Bornet & Flahault","Aphanizomenon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Chrysosporum bergii","(Ostenf.) Zapomelová et al.","Chrysosporum bergii","(Ostenf.) Zapomelová et al.","Chrysosporum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Cuspidothrix issatschenkoi","(Usačev) P.Rajan., Komárek, Willame, Hrouzek, Katovská, L.Hoffm. & Sivonen","Cuspidothrix issatschenkoi","(Usačev) P.Rajan., Komárek, Willame, Hrouzek, Katovská, L.Hoffm. & Sivonen","Cuspidothrix","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Cylindrospermopsis raciborskii","(Wołosz.) Seenayya & Subbaraju","Cylindrospermopsis raciborskii","(Wołosz.) Seenayya & Subbaraju","Cylindrospermopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum affine","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum affine","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum circinale","(Rabenh. ex Bornet & Flahault) Wacklin et al.","Dolichospermum circinale","(Rabenh. ex Bornet & Flahault) Wacklin et al.","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum crassum","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum crassum","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum curvum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum curvum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum flosaquae","(Bréb. ex Bornet & Flahault) Wacklin, L.Hoffm. & Komárek","Anabaena flos-aquae","Bréb. ex Bornet & Flahault","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum flosaquae","(Bréb. ex Bornet & Flahault) Wacklin, L.Hoffm. & Komárek","Dolichospermum flosaquae","(Bréb. ex Bornet & Flahault) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum fuscum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum fuscum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum lemmermannii","(P.G.Richt.) Wacklin, L.Hoffm. & Komárek","Dolichospermum lemmermannii","(P.G.Richt.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum mendotae","(Trel.) Wacklin, L.Hoffm. & Komárek","Dolichospermum mendotae","(Trel.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum perturbatum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum perturbatum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum planctonicum","(Brunnth.) Wacklin, L.Hoffm. & Komárek","Dolichospermum planctonicum","(Brunnth.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum sigmoideum","(Nygaard) Wacklin, L.Hoffm. & Komárek","Dolichospermum sigmoideum","(Nygaard) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum smithii","(Komárek) Wacklin, L.Hoffm. & Komárek","Dolichospermum smithii","(Komárek) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum spiroides","(Kleb.) Wacklin, L.Hoffm. & Komárek","Dolichospermum spiroides","(Kleb.) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Dolichospermum viguieri","(Denis & Frémy) Wacklin, L.Hoffm. & Komárek","Dolichospermum viguieri","(Denis & Frémy) Wacklin, L.Hoffm. & Komárek","Dolichospermum","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Hydrocoryne enteromorphoides","(Grunow ex Bornet & Flahault) Umezaki & M.Watanabe, 1994","Hydrocoryne enteromorphoides","(Grunow ex Bornet & Flahault) Umezaki & M.Watanabe, 1994","Hydrocoryne","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Hydrocoryne spongiosa","Schwabe ex Bornet & Flahault","Hydrocoryne spongiosa","Schwabe ex Bornet & Flahault","Hydrocoryne","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia harveyana","Thuret ex Bornet & Flahault","Nodularia harveyana","Thuret ex Bornet & Flahault","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia hawaiiensis","Tilden, 1901","Nodularia hawaiiensis","Tilden, 1901","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia litorea","Thuret ex Komárek, Hübel, M.Hübel & Smarda","Nodularia litorea","Thuret ex Komárek, Hübel, M.Hübel & Smarda","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia sphaerocarpa","Bornet & Flahault","Nodularia sphaerocarpa","Bornet & Flahault","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia spumigena","Mert. ex Bornet & Flahault","Nodularia spumigena","Mert. ex Bornet & Flahault","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia spumigena","Mert. ex Bornet & Flahault","Nostoc spumigena","(Mert.) Dr.","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Nodularia willei","Gardner","Nodularia willei","Gardner","Nodularia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Raphidiopsis brookii","Hill","Raphidiopsis brookii","Hill","Raphidiopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Raphidiopsis curvata","F.E.Fritsch & Rich","Raphidiopsis curvata","F.E.Fritsch & Rich","Raphidiopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Raphidiopsis mediterranea","Skuja","Raphidiopsis mediterranea","Skuja","Raphidiopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Raphidiopsis raciborskii","(Wołoszyńska, 1912) Aguilera et al., 2018","Raphidiopsis raciborskii","(Wołoszyńska, 1912) Aguilera et al., 2018","Raphidiopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Chlorogloeopsis fritschii","(Mitra) Mitra & Pandey","Chlorogloeopsis fritschii","(Mitra) Mitra & Pandey","Chlorogloeopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Chlorogloeopsidaceae","Cyanobacteria"
"Fischerella ambigua","(Kütz. ex Bornet & Flahault) Gomont","Fischerella ambigua","(Kütz. ex Bornet & Flahault) Gomont","Fischerella","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Fischerella major","Gomont","Fischerella major","Gomont","Fischerella","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Fischerella muscicola","Gomont","Fischerella muscicola","Gomont","Fischerella","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Fischerella thermalis","","Fischerella thermalis","","Fischerella","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon confervaceus","Borzi","Hapalosiphon confervaceus","Borzi","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon hibernicus","W.West & G.S.West","Hapalosiphon hibernicus","W.West & G.S.West","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon intricatus","W.West & G.S.West","Hapalosiphon intricatus","W.West & G.S.West","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon laminosus","(Kuetzing) Hansg.","Hapalosiphon laminosus","(Kuetzing) Hansg.","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon pumilus","Kirchner ex Bornet & Flahault","Hapalosiphon fontinalis","(C.Agardh) Bornet","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon pumilus","Kirchner ex Bornet & Flahault","Hapalosiphon pumilus","Kirchner ex Bornet & Flahault","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Hapalosiphon welwitschii","West & G.S.West","Hapalosiphon welwitschii","West & G.S.West","Hapalosiphon","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Mastigocladus laminosus","Cohn","Fischerella laminosus","(Cohn) Castenholz","Mastigocladus","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Mastigocladus laminosus","Cohn","Mastigocladus laminosus","Cohn","Mastigocladus","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Mastigocoleus testarum","Lagerh.","Mastigocoleus testarum","Lagerh.","Mastigocoleus","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Nostochopsis lobatus","H.C.Wood ex Bornet & Flahault","Nostochopsis lobatus","H.C.Wood ex Bornet & Flahault","Nostochopsis","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Fortiea striatula","(Hy) De Toni","Fortiea striatula","(Hy) De Toni","Fortiea","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Fortiea tenuissima","(W.West & G.S.West) De Toni","Fortiea tenuissima","(W.West & G.S.West) De Toni","Fortiea","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Fortiea tenuissima","(W.West & G.S.West) De Toni","Microchaete tenuissima","W.West & G.S.West","Fortiea","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Hassallia byssoidea","Hassall ex Bornet & Flahault","Hassallia byssoidea","Hassall ex Bornet & Flahault","Hassallia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Hassallia byssoidea","Hassall ex Bornet & Flahault","Tolypothrix byssoidea","Kirchn.","Hassallia","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete aeruginea","Batters","Microchaete aeruginea","Batters","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete diplosiphon","Gomont ex Bornet & Flahault","Microchaete diplosiphon","Gomont ex Bornet & Flahault","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete grisea","Thur. ex Bornet & Flahault","Fremyella grisea","(Thuret ex Bornet & Flahault) J.De Toni","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete grisea","Thur. ex Bornet & Flahault","Microchaete grisea","Thur. ex Bornet & Flahault","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete robusta","Setchell & Gardner, 1903","Microchaete robusta","Setchell & Gardner, 1903","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete spiralis","Ackley, 1919","Microchaete spiralis","Ackley, 1919","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete tenera","Thur. ex Bornet & Flahault","Fremyella tenera","(Thur. ex Bornet & Flahault) De Toni","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete tenera","Thur. ex Bornet & Flahault","Microchaete tenera","Thur. ex Bornet & Flahault","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Microchaete vitiensis","Askenasy ex Bornet & Flahault, 1886","Microchaete vitiensis","Askenasy ex Bornet & Flahault, 1886","Microchaete","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Anabaena aequalis","Borge","Anabaena aequalis","Borge","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena bornetiana","Collins","Anabaena bornetiana","Collins","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena catenula","(Kütz.) Bornet & Flahault","Anabaena catenula","(Kütz.) Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena circinalis","Rabenhorst","Anabaena circinalis","Rabenhorst","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena confervoides","Reinsch.","Anabaena confervoides","Reinsch.","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena cycadeae","J.Reinke","Anabaena cycadeae","J.Reinke","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena cylindrica","Lemmerm.","Anabaena cylindrica","Lemmerm.","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena flosaquae ssp. treleasei","Bornet & Flahault, 1888","Anabaena flosaquae ssp. treleasei","Bornet & Flahault, 1888","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena inaequalis","Bornet & Flahault","Anabaena inaequalis","Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena lapponica","Borge","Anabaena lapponica","Borge","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena laxa","A.Braun ex Bornet & Flahault","Anabaena laxa","A.Braun ex Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena lutea","","Anabaena lutea","","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena minutissima","Lemmerm.","Anabaena minutissima","Lemmerm.","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena oscillarioides","Bory ex Bornet & Flahault","Anabaena oscillarioides","Bory ex Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena oscillarioides var. stenospora","Bornet & Flahault","Anabaena oscillarioides var. stenospora","Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena sp.","sp001858025","Anabaena sp.","sp001858025","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena sphaerica","Bornet & Flahault","Anabaena sphaerica","Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena torulosa","Lagerh. ex Bornet & Flahault","Anabaena torulosa","Lagerh. ex Bornet & Flahault","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena unispora","Gardner","Anabaena unispora","Gardner","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Anabaena variabilis","A","Anabaena variabilis","A","Anabaena","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
